3, 137, 5820.98, 3, 8682.33, 2595.33, 137, 1415.96, 3, 352.333, 83, 241.891, 137
4, 140, 5986.16, 4, 11911.7, 2364.33, 140, 1683.95, 4, 461.333, 87, 251.86, 140
5, 131, 6262.19, 5, 9017, 2882, 131, 1422.61, 5, 450.667, 123, 279.004, 131
6, 130, 6319.59, 6, 10245.3, 3155, 130, 1508.14, 6, 520.333, 92, 288.751, 130
7, 134, 6634.77, 7, 14442.7, 3163.33, 134, 2122.22, 7, 445.333, 108, 269.691, 134
8, 135, 6560.6, 8, 14442.7, 3106.33, 135, 2290.03, 8, 421.667, 97.3333, 279.764, 135
9, 136, 6006.9, 9, 14442.7, 2361.33, 136, 1942.86, 9, 421.667, 92, 262.818, 136
10, 136, 5869.45, 10, 11467.7, 3007, 136, 1485.29, 10, 426, 78, 253.149, 136
11, 133, 6416.72, 11, 11467.7, 2454.33, 133, 1566.08, 11, 475.333, 168, 284.598, 133
12, 134, 6421.8, 12, 13523.3, 2339.33, 134, 1936.4, 12, 428, 80.6667, 258.724, 134
13, 134, 6069.12, 13, 8891.67, 2491.33, 134, 1338.27, 13, 444.333, 123.667, 260.1, 134
14, 134, 6580.44, 14, 8814, 3522.67, 134, 1171.01, 14, 489.667, 132, 292.931, 134
15, 134, 6633.31, 15, 13087.7, 3684.67, 134, 1822.32, 15, 489.667, 138, 293.027, 134
16, 133, 6913.49, 16, 13087.7, 2527.67, 133, 2160.91, 16, 489.667, 115, 281.613, 133
17, 136, 6879, 17, 10878.3, 3868, 136, 1802.62, 17, 543.667, 144.333, 282.691, 136
18, 138, 5743.5, 18, 9716, 2455, 138, 1394.07, 18, 550.667, 101.667, 254.42, 138
19, 135, 6392.58, 19, 12870, 3030.33, 135, 1939.58, 19, 550.667, 94.6667, 271.08, 135
20, 136, 6498.78, 20, 10027.7, 2727.33, 136, 1941.38, 20, 550.667, 96, 257.738, 136
21, 138, 6259.54, 21, 9362.67, 3259, 138, 1539.03, 21, 550.667, 121.667, 268.86, 138
22, 134, 6829.48, 22, 9362.67, 2925.33, 134, 1430.92, 22, 470, 122, 273.598, 134
23, 133, 6548.58, 23, 11431, 2964.67, 133, 1791.98, 23, 436.667, 104, 261.627, 133
24, 142, 6716.42, 24, 10733.3, 2997, 142, 2054.06, 24, 426.667, 104.667, 246.091, 142
25, 137, 6296.01, 25, 10314, 1937.33, 137, 1765.83, 25, 437, 88, 258.736, 137
0, 150, 3854.01, 0, 8885.67, 1084, 150, 1661.89, 0, 348, 46, 198.189, 150
1, 140, 5513.78, 1, 13397.3, 2168, 140, 1912.78, 1, 392.333, 94.6667, 243.449, 140
2, 136, 6501.2, 2, 13397.3, 1992.67, 136, 2372.81, 2, 391.667, 99.6667, 254.549, 136
